date,product,category,region,unit_price,quantity,revenue
2025-07-01,SKU-0032,Home,West,26.65,2,53.31
2025-07-01,SKU-0006,Electronics,South,461.6,2,923.21
2025-07-01,SKU-0035,Grocery,East,38.86,2,77.72
2025-07-01,SKU-0039,Toys,North,95.38,3,286.14
2025-07-01,SKU-0014,Toys,North,181.49,1,181.49
2025-07-01,SKU-0023,Apparel,North,68.13,4,272.53
2025-07-01,SKU-0029,Toys,East,172.76,1,172.76
2025-07-01,SKU-0038,Apparel,East,92.1,2,184.2
2025-07-01,SKU-0032,Home,South,133.47,3,400.41
2025-07-01,SKU-0005,Grocery,South,4.54,1,4.54
2025-07-01,SKU-0025,Grocery,East,8.35,3,25.04
2025-07-01,SKU-0006,Electronics,East,151.65,2,303.3
2025-07-01,SKU-0047,Home,North,75.91,3,227.72
2025-07-01,SKU-0030,Grocery,West,38.47,2,76.93
2025-07-01,SKU-0025,Grocery,South,6.06,2,12.12
2025-07-01,SKU-0025,Grocery,South,37.7,1,37.7
2025-07-01,SKU-0029,Toys,East,60.73,4,242.9
2025-07-01,SKU-0017,Home,West,93.39,2,186.79
2025-07-01,SKU-0002,Home,East,180.27,3,540.81
2025-07-01,SKU-0008,Apparel,South,30.63,3,91.89
2025-07-01,SKU-0034,Toys,West,135.29,3,405.87
2025-07-01,SKU-0037,Home,North,30.47,3,91.41
2025-07-01,SKU-0046,Electronics,South,95.71,1,95.71
2025-07-01,SKU-0028,Apparel,South,167.66,2,335.32
2025-07-01,SKU-0041,Electronics,East,480.22,3,1440.65
2025-07-01,SKU-0015,Grocery,North,12.47,4,49.88
2025-07-01,SKU-0047,Home,West,18.53,2,37.07
2025-07-01,SKU-0022,Home,West,179.42,1,179.42
2025-07-01,SKU-0038,Apparel,South,179.75,1,179.75
2025-07-01,SKU-0026,Electronics,South,404.25,2,808.49
2025-07-01,SKU-0034,Toys,South,27.95,3,83.85
2025-07-01,SKU-0038,Apparel,North,187.99,4,751.98
2025-07-01,SKU-0013,Apparel,North,167.91,4,671.65
2025-07-01,SKU-0008,Apparel,North,123.88,3,371.65
2025-07-01,SKU-0044,Toys,West,68.96,4,275.85
2025-07-01,SKU-0039,Toys,North,105.14,2,210.28
2025-07-01,SKU-0008,Apparel,East,53.63,2,107.27
2025-07-01,SKU-0007,Electronics,East,131.17,2,262.34
2025-07-01,SKU-0026,Electronics,West,324.07,2,648.14
2025-07-01,SKU-0010,Grocery,North,29.47,1,29.47
2025-07-01,SKU-0037,Home,South,33.51,3,100.54
2025-07-01,SKU-0047,Home,East,67.18,1,67.18
2025-07-01,SKU-0025,Grocery,West,38.36,3,115.07
2025-07-01,SKU-0015,Grocery,East,3.92,3,11.76
2025-07-01,SKU-0028,Apparel,South,30.12,3,90.36
2025-07-01,SKU-0008,Apparel,West,193.58,1,193.58
2025-07-01,SKU-0030,Grocery,West,32.76,2,65.52
2025-07-01,SKU-0024,Toys,West,13.39,3,40.17
2025-07-01,SKU-0006,Electronics,East,414.66,2,829.33
2025-07-01,SKU-0012,Home,East,125.14,4,500.57
2025-07-01,SKU-0044,Toys,South,88.39,1,88.39
2025-07-01,SKU-0019,Toys,South,133.87,4,535.47
2025-07-01,SKU-0044,Toys,East,57.09,2,114.18
2025-07-02,SKU-0043,Apparel,North,30.0,4,120.01
2025-07-02,SKU-0024,Toys,West,37.77,3,113.32
2025-07-02,SKU-0016,Electronics,West,140.43,2,280.85
2025-07-02,SKU-0030,Grocery,North,13.53,1,13.53
2025-07-02,SKU-0023,Apparel,North,14.02,1,14.02
2025-07-02,SKU-0010,Grocery,East,4.98,1,4.98
2025-07-02,SKU-0026,Electronics,South,245.32,3,735.97
2025-07-02,SKU-0050,Grocery,West,35.38,3,106.13
2025-07-02,SKU-0027,Home,North,44.48,1,44.48
2025-07-02,SKU-0012,Home,South,118.53,1,118.53
2025-07-02,SKU-0015,Grocery,East,16.82,1,16.82
2025-07-02,SKU-0045,Grocery,North,33.84,1,33.84
2025-07-02,SKU-0021,Electronics,West,121.63,4,486.51
2025-07-02,SKU-0041,Electronics,West,491.42,4,1965.68
2025-07-02,SKU-0029,Toys,West,132.07,4,528.29
2025-07-02,SKU-0037,Home,East,111.85,1,111.85
2025-07-02,SKU-0049,Toys,South,97.93,4,391.73
2025-07-02,SKU-0035,Grocery,North,12.86,3,38.58
2025-07-02,SKU-0022,Home,North,89.21,2,178.42
2025-07-02,SKU-0017,Home,South,79.61,2,159.23
2025-07-02,SKU-0022,Home,South,140.29,2,280.58
2025-07-02,SKU-0040,Grocery,South,36.9,4,147.62
2025-07-02,SKU-0039,Toys,West,111.73,2,223.47
2025-07-02,SKU-0025,Grocery,East,32.76,3,98.29
2025-07-02,SKU-0039,Toys,East,64.75,3,194.25
2025-07-02,SKU-0002,Home,West,142.01,1,142.01
2025-07-02,SKU-0046,Electronics,North,338.04,1,338.04
2025-07-02,SKU-0032,Home,West,26.05,3,78.16
2025-07-02,SKU-0037,Home,West,192.19,1,192.19
2025-07-02,SKU-0021,Electronics,West,408.7,3,1226.11
2025-07-02,SKU-0047,Home,East,58.14,4,232.57
2025-07-02,SKU-0003,Apparel,North,127.07,1,127.07
2025-07-02,SKU-0007,Electronics,South,320.42,3,961.26
2025-07-02,SKU-0034,Toys,West,155.15,3,465.44
2025-07-02,SKU-0026,Electronics,West,331.83,2,663.66
2025-07-02,SKU-0043,Apparel,North,32.25,1,32.25
2025-07-02,SKU-0025,Grocery,West,18.49,3,55.47
2025-07-02,SKU-0011,Electronics,West,220.13,3,660.38
2025-07-02,SKU-0041,Electronics,South,193.62,4,774.5
2025-07-02,SKU-0027,Home,North,39.95,2,79.89
2025-07-02,SKU-0005,Grocery,South,19.2,4,76.81
2025-07-02,SKU-0007,Electronics,West,312.26,3,936.77
2025-07-02,SKU-0019,Toys,South,101.08,4,404.32
2025-07-02,SKU-0033,Apparel,West,146.37,4,585.5
2025-07-02,SKU-0022,Home,East,171.6,1,171.6
2025-07-02,SKU-0007,Electronics,East,327.07,1,327.07
2025-07-02,SKU-0028,Apparel,West,96.32,1,96.32
2025-07-02,SKU-0022,Home,South,97.12,2,194.25
2025-07-02,SKU-0001,Electronics,West,465.75,2,931.49
2025-07-02,SKU-0028,Apparel,West,199.44,1,199.44
2025-07-02,SKU-0035,Grocery,North,33.97,2,67.93
2025-07-02,SKU-0034,Toys,East,136.48,4,545.92
2025-07-02,SKU-0032,Home,North,180.44,1,180.44
2025-07-02,SKU-0013,Apparel,West,37.17,1,37.17
2025-07-02,SKU-0041,Electronics,East,462.47,1,462.47
2025-07-02,SKU-0046,Electronics,North,82.28,1,82.28
2025-07-02,SKU-0041,Electronics,North,416.62,3,1249.87
2025-07-02,SKU-0015,Grocery,West,5.12,4,20.47
2025-07-02,SKU-0049,Toys,East,156.7,4,626.8
2025-07-02,SKU-0041,Electronics,North,96.86,4,387.45
2025-07-02,SKU-0006,Electronics,East,291.9,1,291.9
2025-07-02,SKU-0028,Apparel,North,171.71,3,515.14
2025-07-02,SKU-0041,Electronics,South,161.08,3,483.23
2025-07-02,SKU-0005,Grocery,East,39.27,3,117.8
2025-07-02,SKU-0026,Electronics,North,338.85,1,338.85
2025-07-02,SKU-0011,Electronics,North,378.02,4,1512.09
2025-07-02,SKU-0019,Toys,West,44.87,1,44.87
2025-07-02,SKU-0030,Grocery,East,32.01,2,64.02
2025-07-02,SKU-0044,Toys,West,37.57,3,112.72
2025-07-02,SKU-0028,Apparel,East,119.82,2,239.65
2025-07-02,SKU-0013,Apparel,North,188.71,3,566.14
2025-07-02,SKU-0024,Toys,South,86.77,3,260.3
2025-07-02,SKU-0007,Electronics,South,136.32,1,136.32
2025-07-02,SKU-0005,Grocery,East,18.83,2,37.66
2025-07-02,SKU-0021,Electronics,South,252.96,3,758.88
2025-07-02,SKU-0043,Apparel,South,121.78,1,121.78
2025-07-02,SKU-0047,Home,South,89.5,1,89.5
2025-07-02,SKU-0008,Apparel,East,118.77,1,118.77
2025-07-02,SKU-0030,Grocery,East,26.97,3,80.92
2025-07-02,SKU-0031,Electronics,East,410.72,2,821.44
2025-07-02,SKU-0010,Grocery,South,26.16,2,52.32
2025-07-02,SKU-0049,Toys,West,149.97,3,449.92
2025-07-02,SKU-0007,Electronics,East,291.53,4,1166.1
2025-07-02,SKU-0014,Toys,West,69.75,4,278.98
2025-07-02,SKU-0020,Grocery,North,7.29,2,14.57
2025-07-02,SKU-0044,Toys,South,20.56,4,82.23
2025-07-02,SKU-0029,Toys,South,42.87,2,85.74
2025-07-02,SKU-0004,Toys,West,12.79,3,38.37
2025-07-02,SKU-0036,Electronics,North,236.35,4,945.4
2025-07-02,SKU-0012,Home,South,32.74,3,98.21
2025-07-02,SKU-0026,Electronics,West,498.1,4,1992.38
2025-07-02,SKU-0022,Home,East,140.66,2,281.31
2025-07-02,SKU-0038,Apparel,North,131.77,2,263.54
2025-07-02,SKU-0034,Toys,North,109.77,1,109.77
2025-07-03,SKU-0009,Toys,East,168.9,4,675.59
2025-07-03,SKU-0050,Grocery,North,34.05,4,136.18
2025-07-03,SKU-0050,Grocery,North,19.59,4,78.34
2025-07-03,SKU-0020,Grocery,South,30.95,1,30.95
2025-07-03,SKU-0022,Home,West,38.63,2,77.26
2025-07-03,SKU-0010,Grocery,South,4.65,3,13.96
2025-07-03,SKU-0012,Home,South,103.14,4,412.55
2025-07-03,SKU-0030,Grocery,West,6.11,2,12.22
2025-07-03,SKU-0013,Apparel,East,131.14,3,393.43
2025-07-03,SKU-0033,Apparel,South,154.95,3,464.85
2025-07-03,SKU-0003,Apparel,West,112.51,4,450.04
2025-07-03,SKU-0017,Home,West,101.69,3,305.07
2025-07-03,SKU-0039,Toys,East,105.91,2,211.82
2025-07-03,SKU-0046,Electronics,South,437.12,2,874.23
2025-07-03,SKU-0018,Apparel,South,110.97,3,332.9
2025-07-03,SKU-0006,Electronics,North,465.28,3,1395.85
2025-07-03,SKU-0032,Home,North,74.38,2,148.77
2025-07-03,SKU-0010,Grocery,South,37.32,3,111.95
2025-07-03,SKU-0023,Apparel,South,123.71,3,371.13
2025-07-03,SKU-0001,Electronics,West,375.27,3,1125.82
2025-07-03,SKU-0032,Home,West,127.87,4,511.47
2025-07-03,SKU-0024,Toys,West,181.63,3,544.9
2025-07-03,SKU-0037,Home,North,158.58,2,317.16
2025-07-03,SKU-0044,Toys,East,149.16,4,596.63
2025-07-03,SKU-0023,Apparel,West,134.28,2,268.56
2025-07-03,SKU-0049,Toys,East,64.76,4,259.05
2025-07-03,SKU-0037,Home,North,75.83,1,75.83
2025-07-03,SKU-0007,Electronics,West,406.48,4,1625.94
2025-07-03,SKU-0025,Grocery,South,20.2,2,40.41
2025-07-03,SKU-0049,Toys,East,160.8,3,482.4
2025-07-03,SKU-0005,Grocery,West,32.68,2,65.35
2025-07-03,SKU-0047,Home,North,17.02,1,17.02
2025-07-03,SKU-0019,Toys,East,30.76,4,123.05
2025-07-03,SKU-0034,Toys,East,157.01,1,157.01
2025-07-03,SKU-0044,Toys,North,162.17,2,324.33
2025-07-03,SKU-0003,Apparel,North,128.16,1,128.16
2025-07-03,SKU-0043,Apparel,North,107.78,2,215.56
2025-07-03,SKU-0034,Toys,East,86.26,3,258.77
2025-07-03,SKU-0045,Grocery,South,11.79,2,23.59
2025-07-03,SKU-0043,Apparel,East,172.14,4,688.54
2025-07-03,SKU-0015,Grocery,West,17.69,1,17.69
2025-07-03,SKU-0014,Toys,South,45.64,3,136.93
2025-07-03,SKU-0005,Grocery,West,29.55,2,59.11
2025-07-03,SKU-0041,Electronics,North,204.47,4,817.89
2025-07-03,SKU-0021,Electronics,East,321.45,1,321.45
2025-07-03,SKU-0050,Grocery,West,25.02,1,25.02
2025-07-03,SKU-0020,Grocery,South,21.39,2,42.77
2025-07-03,SKU-0007,Electronics,North,108.21,2,216.42
2025-07-03,SKU-0011,Electronics,South,270.38,4,1081.51
2025-07-03,SKU-0032,Home,West,89.87,4,359.49
2025-07-03,SKU-0048,Apparel,West,112.76,4,451.05
2025-07-03,SKU-0015,Grocery,West,11.7,3,35.1
2025-07-03,SKU-0017,Home,East,110.61,4,442.45
2025-07-03,SKU-0038,Apparel,North,134.15,1,134.15
2025-07-03,SKU-0015,Grocery,West,14.93,1,14.93
2025-07-03,SKU-0008,Apparel,West,63.82,1,63.82
2025-07-03,SKU-0029,Toys,South,158.93,3,476.78
2025-07-03,SKU-0022,Home,West,198.99,3,596.98
2025-07-03,SKU-0034,Toys,North,181.49,2,362.97
2025-07-03,SKU-0040,Grocery,East,23.8,2,47.6
2025-07-03,SKU-0006,Electronics,South,481.25,4,1924.99
2025-07-03,SKU-0026,Electronics,North,95.05,4,380.22
2025-07-03,SKU-0048,Apparel,North,17.81,1,17.81
2025-07-03,SKU-0013,Apparel,South,96.47,2,192.94
2025-07-03,SKU-0026,Electronics,South,101.4,4,405.61
2025-07-03,SKU-0006,Electronics,North,105.42,4,421.69
2025-07-03,SKU-0035,Grocery,South,14.18,2,28.35
2025-07-03,SKU-0020,Grocery,West,3.06,2,6.12
2025-07-03,SKU-0006,Electronics,South,80.52,1,80.52
2025-07-03,SKU-0026,Electronics,West,219.9,2,439.8
2025-07-03,SKU-0022,Home,South,169.83,3,509.49
2025-07-03,SKU-0014,Toys,East,56.07,4,224.29
2025-07-03,SKU-0024,Toys,West,53.37,3,160.1
2025-07-03,SKU-0017,Home,East,19.23,2,38.46
2025-07-03,SKU-0024,Toys,North,38.59,3,115.76
2025-07-03,SKU-0003,Apparel,North,184.58,1,184.58
2025-07-03,SKU-0001,Electronics,East,93.14,1,93.14
2025-07-03,SKU-0006,Electronics,East,181.49,1,181.49
2025-07-03,SKU-0029,Toys,West,171.39,2,342.79
2025-07-03,SKU-0001,Electronics,West,340.03,2,680.06
2025-07-03,SKU-0009,Toys,West,172.54,2,345.09
2025-07-03,SKU-0013,Apparel,West,96.35,4,385.39
2025-07-03,SKU-0031,Electronics,South,231.85,3,695.54
2025-07-03,SKU-0041,Electronics,North,415.67,1,415.67
2025-07-03,SKU-0031,Electronics,North,253.89,3,761.67
2025-07-03,SKU-0016,Electronics,North,92.53,3,277.59
2025-07-03,SKU-0018,Apparel,East,41.44,3,124.33
2025-07-03,SKU-0037,Home,West,150.33,4,601.32
2025-07-03,SKU-0016,Electronics,North,329.41,1,329.41
2025-07-03,SKU-0007,Electronics,East,371.1,1,371.1
2025-07-03,SKU-0009,Toys,North,198.44,2,396.87
2025-07-03,SKU-0001,Electronics,North,497.1,3,1491.29
2025-07-03,SKU-0030,Grocery,East,36.2,1,36.2
2025-07-03,SKU-0045,Grocery,North,26.01,1,26.01
2025-07-03,SKU-0014,Toys,East,122.97,1,122.97
2025-07-03,SKU-0015,Grocery,East,33.94,1,33.94
2025-07-03,SKU-0001,Electronics,South,177.14,4,708.55
2025-07-03,SKU-0044,Toys,South,126.05,1,126.05
2025-07-03,SKU-0028,Apparel,East,138.75,3,416.24
2025-07-03,SKU-0037,Home,South,154.1,3,462.3
2025-07-03,SKU-0050,Grocery,West,22.04,4,88.16
2025-07-03,SKU-0001,Electronics,North,298.5,2,596.99
2025-07-03,SKU-0021,Electronics,East,453.66,3,1360.97
2025-07-03,SKU-0020,Grocery,North,8.53,2,17.05
2025-07-03,SKU-0049,Toys,West,47.91,4,191.65
2025-07-03,SKU-0043,Apparel,East,50.31,2,100.62
2025-07-03,SKU-0024,Toys,East,176.89,3,530.67
2025-07-03,SKU-0019,Toys,West,150.93,3,452.78
2025-07-03,SKU-0037,Home,West,118.29,2,236.57
2025-07-03,SKU-0006,Electronics,North,443.54,4,1774.16
2025-07-03,SKU-0040,Grocery,North,10.56,2,21.13
2025-07-03,SKU-0038,Apparel,East,196.05,4,784.21
2025-07-03,SKU-0019,Toys,South,178.64,3,535.92
2025-07-03,SKU-0020,Grocery,South,25.52,3,76.57
2025-07-03,SKU-0030,Grocery,South,25.27,3,75.8
2025-07-03,SKU-0047,Home,South,47.38,2,94.76
2025-07-03,SKU-0019,Toys,East,34.91,2,69.82
2025-07-03,SKU-0009,Toys,North,74.5,1,74.5
2025-07-03,SKU-0048,Apparel,West,28.8,2,57.59
2025-07-03,SKU-0038,Apparel,North,62.84,2,125.68
2025-07-03,SKU-0011,Electronics,South,299.25,1,299.25
2025-07-03,SKU-0024,Toys,West,18.58,1,18.58
2025-07-04,SKU-0013,Apparel,North,104.15,3,312.44
2025-07-04,SKU-0012,Home,West,66.01,2,132.01
2025-07-04,SKU-0016,Electronics,West,458.69,4,1834.76
2025-07-04,SKU-0031,Electronics,North,480.26,4,1921.04
2025-07-04,SKU-0021,Electronics,East,207.88,1,207.88
2025-07-04,SKU-0022,Home,East,170.7,1,170.7
2025-07-04,SKU-0021,Electronics,South,149.43,3,448.29
2025-07-04,SKU-0023,Apparel,East,171.87,1,171.87
2025-07-04,SKU-0027,Home,South,66.25,3,198.74
2025-07-04,SKU-0042,Home,West,154.4,2,308.81
2025-07-04,SKU-0003,Apparel,North,188.89,1,188.89
2025-07-04,SKU-0012,Home,South,29.08,4,116.3
2025-07-04,SKU-0009,Toys,South,44.1,4,176.41
2025-07-04,SKU-0004,Toys,East,56.6,2,113.2
2025-07-04,SKU-0007,Electronics,South,447.32,4,1789.29
2025-07-04,SKU-0027,Home,North,57.2,3,171.59
2025-07-04,SKU-0015,Grocery,West,37.78,1,37.78
2025-07-04,SKU-0001,Electronics,South,297.42,4,1189.67
2025-07-04,SKU-0023,Apparel,South,111.95,3,335.84
2025-07-04,SKU-0019,Toys,West,33.88,1,33.88
2025-07-04,SKU-0005,Grocery,North,38.27,2,76.54
2025-07-04,SKU-0019,Toys,South,49.47,3,148.4
2025-07-04,SKU-0044,Toys,West,32.6,1,32.6
2025-07-04,SKU-0001,Electronics,South,335.41,2,670.83
2025-07-04,SKU-0049,Toys,North,111.06,2,222.12
2025-07-04,SKU-0042,Home,East,165.48,4,661.91
2025-07-04,SKU-0019,Toys,West,39.05,2,78.09
2025-07-04,SKU-0035,Grocery,South,4.85,2,9.71
2025-07-04,SKU-0003,Apparel,West,128.31,4,513.26
2025-07-04,SKU-0032,Home,West,50.27,4,201.09
2025-07-04,SKU-0027,Home,North,131.41,2,262.83
2025-07-04,SKU-0028,Apparel,North,63.37,4,253.48
2025-07-04,SKU-0020,Grocery,North,7.77,2,15.55
2025-07-04,SKU-0040,Grocery,West,17.54,3,52.61
2025-07-04,SKU-0033,Apparel,South,147.97,2,295.95
2025-07-04,SKU-0016,Electronics,South,331.87,3,995.62
2025-07-04,SKU-0031,Electronics,North,223.94,4,895.76
2025-07-04,SKU-0005,Grocery,North,34.3,3,102.91
2025-07-04,SKU-0050,Grocery,East,36.02,2,72.04
2025-07-04,SKU-0014,Toys,East,110.97,4,443.87
2025-07-04,SKU-0009,Toys,South,190.03,2,380.06
2025-07-04,SKU-0037,Home,East,86.6,3,259.79
2025-07-04,SKU-0008,Apparel,West,106.7,3,320.09
2025-07-04,SKU-0017,Home,South,132.94,2,265.89
2025-07-04,SKU-0035,Grocery,North,19.28,2,38.56
2025-07-04,SKU-0042,Home,East,136.82,1,136.82
2025-07-04,SKU-0037,Home,South,13.76,3,41.27
2025-07-04,SKU-0041,Electronics,West,406.82,1,406.82
2025-07-04,SKU-0038,Apparel,North,136.89,1,136.89
2025-07-04,SKU-0044,Toys,South,36.34,2,72.69
2025-07-04,SKU-0015,Grocery,North,36.68,3,110.05
2025-07-04,SKU-0049,Toys,West,143.26,3,429.79
2025-07-04,SKU-0030,Grocery,East,12.44,3,37.32
2025-07-04,SKU-0004,Toys,South,195.46,2,390.93
2025-07-04,SKU-0023,Apparel,South,14.41,3,43.24
2025-07-04,SKU-0036,Electronics,South,336.3,4,1345.18
2025-07-04,SKU-0009,Toys,South,172.26,4,689.03
2025-07-04,SKU-0043,Apparel,East,103.07,3,309.2
2025-07-04,SKU-0041,Electronics,West,182.57,2,365.13
2025-07-04,SKU-0048,Apparel,West,170.23,4,680.93
2025-07-04,SKU-0002,Home,West,155.29,3,465.86
2025-07-04,SKU-0006,Electronics,North,271.71,2,543.42
2025-07-04,SKU-0031,Electronics,South,201.51,3,604.54
2025-07-04,SKU-0024,Toys,North,87.9,3,263.69
2025-07-04,SKU-0033,Apparel,North,173.51,4,694.03
2025-07-04,SKU-0019,Toys,West,73.86,1,73.86
2025-07-04,SKU-0007,Electronics,West,138.1,4,552.39
2025-07-04,SKU-0031,Electronics,West,243.83,1,243.83
2025-07-04,SKU-0015,Grocery,South,8.7,1,8.7
2025-07-04,SKU-0021,Electronics,West,471.82,3,1415.45
2025-07-04,SKU-0032,Home,West,36.22,1,36.22
2025-07-04,SKU-0013,Apparel,East,178.12,2,356.24
2025-07-04,SKU-0023,Apparel,North,168.18,1,168.18
2025-07-04,SKU-0008,Apparel,East,114.92,2,229.83
2025-07-04,SKU-0015,Grocery,West,27.15,3,81.45
2025-07-04,SKU-0002,Home,North,108.13,4,432.51
2025-07-04,SKU-0035,Grocery,South,39.14,3,117.41
2025-07-04,SKU-0015,Grocery,North,18.72,2,37.43
2025-07-04,SKU-0019,Toys,West,77.13,3,231.4
2025-07-04,SKU-0035,Grocery,South,33.39,4,133.54
2025-07-04,SKU-0020,Grocery,West,30.71,2,61.41
2025-07-04,SKU-0009,Toys,North,179.68,2,359.35
2025-07-04,SKU-0029,Toys,North,28.26,4,113.03
2025-07-04,SKU-0016,Electronics,North,108.36,3,325.07
2025-07-04,SKU-0012,Home,West,92.9,1,92.9
2025-07-04,SKU-0005,Grocery,West,27.13,1,27.13
2025-07-04,SKU-0018,Apparel,West,37.9,1,37.9
2025-07-04,SKU-0014,Toys,West,112.4,4,449.6
2025-07-04,SKU-0003,Apparel,East,84.95,1,84.95
2025-07-04,SKU-0030,Grocery,East,30.84,2,61.67
2025-07-04,SKU-0027,Home,South,98.29,4,393.16
2025-07-04,SKU-0021,Electronics,West,167.52,1,167.52
2025-07-04,SKU-0049,Toys,North,26.34,1,26.34
2025-07-04,SKU-0009,Toys,South,166.39,1,166.39
2025-07-04,SKU-0035,Grocery,East,8.08,4,32.31
2025-07-04,SKU-0009,Toys,West,84.65,2,169.31
2025-07-04,SKU-0048,Apparel,North,175.84,4,703.37
2025-07-04,SKU-0031,Electronics,South,355.55,1,355.55
2025-07-04,SKU-0013,Apparel,East,117.62,3,352.86
2025-07-04,SKU-0020,Grocery,North,29.29,4,117.16
2025-07-04,SKU-0027,Home,South,124.3,1,124.3
2025-07-04,SKU-0031,Electronics,West,255.84,2,511.67
2025-07-04,SKU-0006,Electronics,South,315.71,4,1262.85
2025-07-04,SKU-0038,Apparel,South,109.16,2,218.33
2025-07-04,SKU-0023,Apparel,North,138.56,3,415.69
2025-07-04,SKU-0019,Toys,West,50.33,1,50.33
2025-07-04,SKU-0039,Toys,West,42.67,3,128.02
2025-07-04,SKU-0005,Grocery,West,20.62,2,41.23
2025-07-05,SKU-0003,Apparel,North,50.88,2,101.77
2025-07-05,SKU-0030,Grocery,North,28.14,1,28.14
2025-07-05,SKU-0011,Electronics,North,166.93,1,166.93
2025-07-05,SKU-0022,Home,South,35.59,3,106.77
2025-07-05,SKU-0044,Toys,South,78.54,1,78.54
2025-07-05,SKU-0003,Apparel,North,60.31,4,241.25
2025-07-05,SKU-0031,Electronics,North,453.11,1,453.11
2025-07-05,SKU-0047,Home,East,30.41,1,30.41
2025-07-05,SKU-0006,Electronics,West,131.23,1,131.23
2025-07-05,SKU-0043,Apparel,West,165.76,3,497.29
2025-07-05,SKU-0027,Home,South,18.39,1,18.39
2025-07-05,SKU-0021,Electronics,West,478.43,1,478.43
2025-07-05,SKU-0029,Toys,South,42.36,4,169.46
2025-07-05,SKU-0049,Toys,South,103.8,2,207.6
2025-07-05,SKU-0049,Toys,North,85.53,4,342.12
2025-07-05,SKU-0030,Grocery,North,14.88,1,14.88
2025-07-05,SKU-0010,Grocery,South,35.05,1,35.05
2025-07-05,SKU-0030,Grocery,East,18.12,2,36.24
2025-07-05,SKU-0022,Home,South,186.09,4,744.34
2025-07-05,SKU-0047,Home,East,72.56,2,145.12
2025-07-05,SKU-0023,Apparel,East,97.75,2,195.49
2025-07-05,SKU-0033,Apparel,South,70.94,4,283.74
2025-07-05,SKU-0018,Apparel,East,27.98,2,55.96
2025-07-05,SKU-0009,Toys,East,83.93,4,335.71
2025-07-05,SKU-0011,Electronics,West,397.33,3,1191.98
2025-07-05,SKU-0013,Apparel,East,186.23,1,186.23
2025-07-05,SKU-0030,Grocery,South,4.95,3,14.84
2025-07-05,SKU-0048,Apparel,North,185.54,4,742.16
2025-07-05,SKU-0029,Toys,East,17.32,4,69.29
2025-07-05,SKU-0035,Grocery,West,3.98,2,7.96
2025-07-05,SKU-0038,Apparel,North,104.32,1,104.32
2025-07-05,SKU-0024,Toys,West,159.46,4,637.85
2025-07-05,SKU-0017,Home,South,80.88,4,323.53
2025-07-05,SKU-0029,Toys,South,40.51,2,81.02
2025-07-05,SKU-0039,Toys,West,111.93,1,111.93
2025-07-05,SKU-0049,Toys,East,172.57,4,690.29
2025-07-05,SKU-0010,Grocery,North,35.49,3,106.47
2025-07-05,SKU-0019,Toys,East,164.08,3,492.25
2025-07-05,SKU-0025,Grocery,South,39.34,3,118.02
2025-07-05,SKU-0031,Electronics,North,235.39,1,235.39
2025-07-05,SKU-0021,Electronics,South,413.8,1,413.8
2025-07-05,SKU-0042,Home,North,67.72,3,203.16
2025-07-05,SKU-0044,Toys,East,108.89,3,326.66
2025-07-05,SKU-0024,Toys,South,41.04,3,123.13
2025-07-05,SKU-0034,Toys,South,127.56,1,127.56
2025-07-05,SKU-0003,Apparel,North,109.23,4,436.91
2025-07-05,SKU-0011,Electronics,North,159.16,2,318.32
2025-07-05,SKU-0018,Apparel,West,189.99,1,189.99
